"nombre","provincia","nivel","porcentaje","extranjerizada_ha","total_ha","id"
"Saladillo","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"5590.0600000000004",257860.08,1
"Las Flores","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"6429.0500000000002",323971.96,2
"Rojas","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"7614.3500000000004",199731.91,3
"Escobar","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"505.19999999999999",13627.74,4
"José C. Paz","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"21.670000000000002",676.03,5
"San Antonio de Areco","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"2889.1999999999998",83445.68,6
"Maipú","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"8857.3700000000008",260350.89,7
"O'Higgins","Chaco","Departamentos dentro del promedio nacional",1,"985.80999999999995",157513.56,8
"Moreno","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",10,"420.80000000000001",4398.39,9
"La Matanza","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"469.0",13354.74,10
"General Paz","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"4410.5200000000004",116830.57,11
"General Guido","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"0.02",229324.9,12
"General Juan Madariaga","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"2671.8000000000002",290533.86,13
"Tandil","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"21557.279999999999",467532.17,14
"Coronel Suárez","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"15099.73",571848.04,15
"Adolfo Gonzales Chaves","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"994.53999999999996",372133.72,16
"Bahía Blanca","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"3710.7199999999998",192659.35,17
"General Alvarado","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"8854.9599999999991",153526.68,18
"General Pueyrredón","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",7,"9474.5900000000001",126395.94,19
"Mar Chiquita","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"4228.8400000000001",291324.78,20
"Villa Gesell","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"654.65999999999997",10608.63,21
"Pinamar","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",0,"",3388.21,22
"General Lavalle","Provincia de Buenos Aires","Departamentos por encima del promedio nacional",6,"15803.51",265700.29,23
"La Costa","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"82.659999999999997",12642.76,24
"Magdalena","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"4775.8699999999999",179454.54,25
"Vicente López","Provincia de Buenos Aires","Sin datos",NA,NA,NA,26
"Alberdi","Santiago del Estero","Departamentos por encima del promedio nacional",9,"122672.48",1350105.47,27
"Juan Felipe Ibarra","Santiago del Estero","Departamentos dentro del promedio nacional",3,"26523.0",908708,28
"General Taboada","Santiago del Estero","Departamentos dentro del promedio nacional",3,"16064.0",602881.75,29
"Rivadavia","Santiago del Estero","Departamentos dentro del promedio nacional",1,"1692.6500000000001",337031.75,30
"Ojo de Agua","Santiago del Estero","Departamentos dentro del promedio nacional",0,"",622862.77,31
"Choya","Santiago del Estero","Departamentos dentro del promedio nacional",1,"3996.71",647625.93,32
"Rauch","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"9942.6100000000006",416431.43,33
"Salliqueló","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"613.96000000000004",78070.95,34
"Berazategui","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"339.54000000000002",13949.65,35
"Tornquist","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"2882.0799999999999",393242.44,36
"Coronel Pringles","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"8282.7900000000009",502366.83,37
"General Pinto","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"5002.54",245703.39,38
"San Cayetano","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",5,"15120.889999999999",294562.69,39
"Tres Arroyos","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",3,"18842.169999999998",565431.72,40
"Coronel Dorrego","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"5961.2399999999998",569810.91,41
"Necochea","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",4,"15784.02",429155.09,42
"Independencia","La Rioja","Departamentos dentro del promedio nacional",0,"",712000,43
"General Ortiz de Ocampo","La Rioja","Departamentos dentro del promedio nacional",0,"0.37",212876.86,44
"Chamical","La Rioja","Departamentos dentro del promedio nacional",0,"2.4500000000000002",554533.49,45
"Arauco","La Rioja","Departamentos dentro del promedio nacional",1,"1191.8900000000001",198442.47,46
"Lezama","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",1,"568.61000000000001",96138.16,47
"Chascomús","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"6981.1199999999999",299948.64,48
"Punta Indio","Provincia de Buenos Aires","Departamentos dentro del promedio nacional",2,"2879.98",153729.55,49
"El Carmen","Jujuy","Departamentos con alto nivel de extranjerización",15,"13270.799999999999",89683.91,50
"Campana","Provincia de Buenos Aires","Departamentos con alto nivel de extranjerización",50,"11935.48",23743.2,51
"Magallanes","Santa Cruz","Departamentos con alto nivel de extranjerización",26,"509486.59000000003",1976725.16,52
"Corpen Aike","Santa Cruz","Departamentos dentro del promedio nacional",5,"133830.81",2624836.03,53
"Conesa","Rio Negro","Departamentos dentro del promedio nacional",0,"400.0",982632.45,54
"General Lamadrid","La Rioja","Departamentos con alto nivel de extranjerización",57,"349858.09999999998",617003.65,55
"Comuna 6","Ciudad Autónoma de Buenos Aires","Sin datos",NA,NA,NA,56
"12 de Octubre","Chaco","Departamentos dentro del promedio nacional",1,"2720.5",253398.72,57
"Tulumba","Cordoba","Departamentos dentro del promedio nacional",1,"9816.1299999999992",960151.43,58
"Cruz del Eje","Cordoba","Departamentos dentro del promedio nacional",0,"339.86000000000001",658165.6,59
"Punilla","Cordoba","Departamentos dentro del promedio nacional",3,"6989.1199999999999",220864.64,60
"Santa María","Cordoba","Departamentos dentro del promedio nacional",0,"1487.8",310547.69,61
"Minas","Cordoba","Departamentos dentro del promedio nacional",4,"14804.02",357653.86,62
"San Alberto","Cordoba","Departamentos dentro del promedio nacional",2,"5818.8100000000004",336643.08,63
"Río Segundo","Cordoba","Departamentos dentro del promedio nacional",0,"2143.9099999999999",512936.61,64
"San Justo","Cordoba","Departamentos dentro del promedio nacional",0,"3239.3299999999999",1544690.6,65
"Unión","Cordoba","Departamentos dentro del promedio nacional",2,"17850.860000000001",1082148.05,66
"Tercero Arriba","Cordoba","Departamentos dentro del promedio nacional",2,"11394.93",511451.96,67
"Río Cuarto","Cordoba","Departamentos dentro del promedio nacional",2,"42877.980000000003",1845697.65,68
"Pilagás","Formosa","Departamentos dentro del promedio nacional",0,"632.46000000000004",221328,69
"Laishi","Formosa","Departamentos dentro del promedio nacional",2,"5413.3000000000002",243204,70
"Pirané","Formosa","Departamentos dentro del promedio nacional",0,"919.20000000000005",576975,71
"General Güemes","Chaco","Departamentos por encima del promedio nacional",6,"150586.13",2396166.76,72
"Valcheta","Rio Negro","Departamentos dentro del promedio nacional",0,"40.210000000000001",1961352.35,73
"San Antonio","Rio Negro","Departamentos dentro del promedio nacional",2,"30272.799999999999",1321687.08,74
"9 de Julio","Rio Negro","Departamentos dentro del promedio nacional",0,"",1846444.08,75
