"categoria","centroide_lat","centroide_lon","fuente","id","nombre","nombre_completo","provincia_id","provincia_interseccion","provincia_nombre"
"Departamento",-31.290298372,-58.23786969,"IGN","30015","Concordia","Departamento Concordia","30",0.0,"Entre Ríos"
"Partido",-36.666034542,-57.995736595,"IGN","06308","General Guido","Partido de General Guido","06",0.0,"Buenos Aires"
"Partido",-37.153515719,-57.230660595,"IGN","06315","General Juan Madariaga","Partido de General Juan Madariaga","06",0.0,"Buenos Aires"
"Departamento",-29.30437662,-64.014496788,"IGN","86126","Ojo de Agua","Departamento Ojo de Agua","86",0.0,"Santiago del Estero"
"Departamento",-28.7541678,-64.763892439,"IGN","86063","Choya","Departamento Choya","86",0.0,"Santiago del Estero"
"Departamento",-35.368450623,-65.809487373,"IGN","74042","Gobernador Dupuy","Departamento Gobernador Dupuy","74",0.0,"San Luis"
"Departamento",-25.038755786,-66.202620089,"IGN","66014","Cachi","Departamento Cachi","66",0.0,"Salta"
"Partido",-38.257642163,-62.290565998,"IGN","06819","Tornquist","Partido de Tornquist","06",0.0,"Buenos Aires"
"Departamento",-33.70128532,-67.249723692,"IGN","50042","La Paz","Departamento La Paz","50",0.0,"Mendoza"
"Partido",-38.147917269,-61.264417453,"IGN","06196","Coronel Pringles","Partido de Coronel Pringles","06",0.0,"Buenos Aires"
"Partido",-39.128565233,-62.724598955,"IGN","06875","Villarino","Partido de Villarino","06",0.0,"Buenos Aires"
"Departamento",-25.767291354,-59.159256397,"IGN","34056","Pirané","Departamento Pirané","34",0.0,"Formosa"
"Departamento",-34.945449054,-68.384239784,"IGN","50105","San Rafael","Departamento San Rafael","50",0.0,"Mendoza"
"Departamento",-24.875456354,-63.839726329,"IGN","66007","Anta","Departamento Anta","66",0.0,"Salta"
"Departamento",-39.131486354,-71.046317963,"IGN","58007","Aluminé","Departamento Aluminé","58",0.0,"Neuquén"
"Departamento",-22.815345231,-64.920514125,"IGN","66070","Iruya","Departamento Iruya","66",0.0,"Salta"
"Departamento",-40.314223089,-71.184263963,"IGN","58056","Lácar","Departamento Lácar","58",0.0,"Neuquén"
"Departamento",-28.334338272,-65.731187898,"IGN","10063","Fray Mamerto Esquiú","Departamento Fray Mamerto Esquiú","10",0.0,"Catamarca"
"Departamento",-28.600068484,-65.707932416,"IGN","10112","Valle Viejo","Departamento Valle Viejo","10",0.0,"Catamarca"
"Departamento",-27.382298677,-58.517474225,"IGN","18133","San Cosme","Departamento San Cosme","18",0.0,"Corrientes"
"Comuna",-34.606443542,-58.371511742,"IGN","02007","Comuna 1","Comuna 1","02",0.0,"Ciudad Autónoma de Buenos Aires"
"Comuna",-34.642112895,-58.387561403,"IGN","02028","Comuna 4","Comuna 4","02",0.0,"Ciudad Autónoma de Buenos Aires"
"Departamento",-32.575467562,-67.896691264,"IGN","50056","Lavalle","Departamento Lavalle","50",0.0,"Mendoza"
"Departamento",-36.158940038,-69.313081046,"IGN","50077","Malargüe","Departamento Malargüe","50",0.0,"Mendoza"
"Departamento",-40.925551471,-67.457491656,"IGN","62049","9 de Julio","Departamento 9 de Julio","62",0.0,"Río Negro"
"Departamento",-29.985327367,-59.241381842,"IGN","18049","Esquina","Departamento Esquina","18",0.0,"Corrientes"
"Departamento",-27.346055929,-58.071381791,"IGN","18077","Itatí","Departamento Itatí","18",0.0,"Corrientes"
"Departamento",-41.739822928,-70.401145909,"IGN","62056","Ñorquinco","Departamento Ñorquinco","62",0.0,"Río Negro"
"Departamento",-39.403965224,-69.427190721,"IGN","58098","Picún Leufú","Departamento Picún Leufú","58",0.0,"Neuquén"
"Departamento",-38.922176526,-69.822368201,"IGN","58112","Zapala","Departamento Zapala","58",0.0,"Neuquén"
"Departamento",-26.657908187,-54.563177451,"IGN","54084","Montecarlo","Departamento Montecarlo","54",0.0,"Misiones"
"Departamento",-26.313844997,-54.440736339,"IGN","54042","Eldorado","Departamento Eldorado","54",0.0,"Misiones"
"Departamento",-26.629960774,-53.962978042,"IGN","54112","San Pedro","Departamento San Pedro","54",0.0,"Misiones"
"Departamento",-82.777676655,-50.648030604,"IGN","94028","Antártida Argentina","Departamento Antártida Argentina","94",0.0,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
"Departamento",-36.858557894,-70.78364815,"IGN","58077","Minas","Departamento Minas","58",0.0,"Neuquén"
"Departamento",-36.880564189,-70.28637931,"IGN","58042","Chos Malal","Departamento Chos Malal","58",0.0,"Neuquén"
"Departamento",-42.366397304,-70.711997803,"IGN","26014","Cushamen","Departamento Cushamen","26",0.0,"Chubut"
"Departamento",-46.834204371,-70.631399574,"IGN","78035","Lago Buenos Aires","Departamento Lago Buenos Aires","78",0.0,"Santa Cruz"
"Departamento",-22.290645261,-65.566739421,"IGN","38112","Yavi","Departamento Yavi","38",0.0,"Jujuy"
"Departamento",-22.137640685,-66.227261408,"IGN","38077","Santa Catalina","Departamento Santa Catalina","38",0.0,"Jujuy"
"Departamento",-24.298508317,-64.810989906,"IGN","38063","San Pedro","Departamento San Pedro","38",0.0,"Jujuy"
"Departamento",-23.466614061,-65.012019344,"IGN","38105","Valle Grande","Departamento Valle Grande","38",0.0,"Jujuy"
"Departamento",-24.875008186,-59.958428013,"IGN","34035","Patiño","Departamento Patiño","34",0.0,"Formosa"
"Departamento",-24.025499022,-61.282861177,"IGN","34007","Bermejo","Departamento Bermejo","34",0.0,"Formosa"
"Departamento",-23.520671093,-66.66171188,"IGN","38084","Susques","Departamento Susques","38",0.0,"Jujuy"
"Departamento",-24.642624898,-67.34409569,"IGN","66105","Los Andes","Departamento Los Andes","66",0.0,"Salta"
"Departamento",-23.498791632,-64.15094565,"IGN","66126","Orán","Departamento Orán","66",0.0,"Salta"
"Departamento",-23.560401518,-65.32001059,"IGN","38094","Tilcara","Departamento Tilcara","38",0.0,"Jujuy"
"Departamento",-24.194922517,-65.12644981,"IGN","38042","Palpalá","Departamento Palpalá","38",0.0,"Jujuy"
"Departamento",-45.340559189,-70.64008501,"IGN","26084","Río Senguer","Departamento Río Senguer","26",0.0,"Chubut"
"Departamento",-41.498137665,-71.531086306,"IGN","62021","Bariloche","Departamento Bariloche","62",0.0,"Río Negro"
"Departamento",-39.794677678,-71.259002554,"IGN","58049","Huiliches","Departamento Huiliches","58",0.0,"Neuquén"
"Departamento",-37.434521538,-67.604532904,"IGN","42112","Puelén","Departamento Puelén","42",0.0,"La Pampa"
"Departamento",-29.388323402,-63.348416122,"IGN","86140","Quebrachos","Departamento Quebrachos","86",0.0,"Santiago del Estero"
"Departamento",-30.228961235,-57.870301872,"IGN","18112","Monte Caseros","Departamento Monte Caseros","18",0.0,"Corrientes"
"Departamento",-31.315337904,-61.109480802,"IGN","82070","Las Colonias","Departamento Las Colonias","82",0.0,"Santa Fe"
"Departamento",-30.530424814,-60.488694067,"IGN","82112","San Justo","Departamento San Justo","82",0.0,"Santa Fe"
"Departamento",-30.228389721,-61.359937207,"IGN","82091","San Cristóbal","Departamento San Cristóbal","82",0.0,"Santa Fe"
"Departamento",-30.104146106,-59.898070474,"IGN","82098","San Javier","Departamento San Javier","82",0.0,"Santa Fe"
"Departamento",-35.230662056,-64.209849806,"IGN","42133","Realicó","Departamento Realicó","42",0.0,"La Pampa"
"Departamento",-25.871561301,-64.728808924,"IGN","66140","Rosario de la Frontera","Departamento Rosario de la Frontera","66",0.0,"Salta"
"Departamento",-40.052919429,-70.281366776,"IGN","58028","Collón Curá","Departamento Collón Curá","58",0.0,"Neuquén"
"Partido",-34.155836112,-58.534581657,"IGN","06749","San Fernando","Partido de San Fernando","06",0.0,"Buenos Aires"
"Partido",-34.382019908,-58.588173873,"IGN","06805","Tigre","Partido de Tigre","06",0.0,"Buenos Aires"
"Departamento",-26.773464856,-66.261270525,"IGN","10091","Santa María","Departamento Santa María","10",0.0,"Catamarca"
"Departamento",-28.082107972,-65.335082466,"IGN","10098","Santa Rosa","Departamento Santa Rosa","10",0.0,"Catamarca"
"Departamento",-29.395503622,-65.192033875,"IGN","10070","La Paz","Departamento La Paz","10",0.0,"Catamarca"
"Departamento",-28.316697715,-68.52529283,"IGN","46098","Vinchina","Departamento Vinchina","46",0.0,"La Rioja"
"Departamento",-29.460589655,-66.3526001,"IGN","46014","Capital","Departamento Capital","46",0.0,"La Rioja"
"Departamento",-30.045041249,-63.19901878,"IGN","14112","Río Seco","Departamento Río Seco","14",0.0,"Córdoba"
"Departamento",-39.410262693,-66.206396517,"IGN","62014","Avellaneda","Departamento Avellaneda","62",0.0,"Río Negro"
"Departamento",-38.529894778,-67.557403662,"IGN","62042","General Roca","Departamento General Roca","62",0.0,"Río Negro"
"Departamento",-28.110316742,-65.674318015,"IGN","10077","Paclín","Departamento Paclín","10",0.0,"Catamarca"
"Departamento",-53.746291987,-68.136104654,"IGN","94008","Río Grande","Departamento Río Grande","94",0.0,"Tierra del Fuego, Antártida e Islas del Atlántico Sur"
"Comuna",-34.554126296,-58.454002962,"IGN","02091","Comuna 13","Comuna 13","02",0.0,"Ciudad Autónoma de Buenos Aires"
"Departamento",-44.03018438,-68.685862838,"IGN","26070","Paso de Indios","Departamento Paso de Indios","26",0.0,"Chubut"
"Departamento",-28.106114741,-63.446175149,"IGN","86182","Sarmiento","Departamento Sarmiento","86",0.0,"Santiago del Estero"
"Departamento",-47.330562996,-68.029054803,"IGN","78014","Deseado","Departamento Deseado","78",0.0,"Santa Cruz"
"Departamento",-43.323491879,-70.348407988,"IGN","26056","Languiñeo","Departamento Languiñeo","26",0.0,"Chubut"
"Departamento",-29.081505373,-62.218279509,"IGN","86042","Belgrano","Departamento Belgrano","86",0.0,"Santiago del Estero"
"Departamento",-29.297973228,-62.51509738,"IGN","86007","Aguirre","Departamento Aguirre","86",0.0,"Santiago del Estero"
